Test N:;Tempo di Esecuzione ( Secondi );Elementi Albero Minore;Elementi Albero Maggiore;Elementi Totali;Albero Maggiore:
1;0.000126838684082;50;60;110;A
2;0.000144958496094;100;120;220;B
3;0.000162124633789;150;180;330;A
4;0.000160932540894;200;240;440;B
5;0.000165939331055;250;300;550;A
6;0.000180006027222;300;360;660;B
7;0.000179052352905;350;420;770;A
8;0.000180006027222;400;480;880;B
9;0.000180959701538;450;540;990;A
10;0.000233888626099;500;600;1100;B
11;0.000196933746338;550;660;1210;A
12;0.000211000442505;600;720;1320;B
13;0.000200033187866;650;780;1430;A
14;0.000197172164917;700;840;1540;B
15;0.00019907951355;750;900;1650;A
16;0.000198841094971;800;960;1760;B
17;0.00019907951355;850;1020;1870;A
18;0.000250816345215;900;1080;1980;B
19;0.000200033187866;950;1140;2090;A
20;0.000256061553955;1000;1200;2200;B
21;0.000216007232666;1050;1260;2310;A
22;0.000218152999878;1100;1320;2420;B
23;0.000216007232666;1150;1380;2530;A
24;0.000216007232666;1200;1440;2640;B
25;0.000221967697144;1250;1500;2750;A
26;0.000218868255615;1300;1560;2860;B
27;0.000216960906982;1350;1620;2970;A
28;0.000216007232666;1400;1680;3080;B
29;0.000216007232666;1450;1740;3190;A
30;0.000216007232666;1500;1800;3300;B
31;0.000216007232666;1550;1860;3410;A
32;0.000216007232666;1600;1920;3520;B
33;0.000217914581299;1650;1980;3630;A
34;0.000217199325562;1700;2040;3740;B
35;0.00022292137146;1750;2100;3850;A
36;0.000278949737549;1800;2160;3960;B
37;0.000220060348511;1850;2220;4070;A
38;0.000272035598755;1900;2280;4180;B
39;0.000219106674194;1950;2340;4290;A
40;0.000272989273071;2000;2400;4400;B
41;0.000236034393311;2050;2460;4510;A
42;0.000233888626099;2100;2520;4620;B
43;0.000246047973633;2150;2580;4730;A
44;0.000234842300415;2200;2640;4840;B
45;0.000235080718994;2250;2700;4950;A
46;0.00023889541626;2300;2760;5060;B
47;0.000246047973633;2350;2820;5170;A
48;0.000236034393311;2400;2880;5280;B
49;0.000261068344116;2450;2940;5390;A
50;0.000236988067627;2500;3000;5500;B
51;0.00023889541626;2550;3060;5610;A
52;0.000236034393311;2600;3120;5720;B
53;0.000237941741943;2650;3180;5830;A
54;0.000241041183472;2700;3240;5940;B
55;0.00023889541626;2750;3300;6050;A
56;0.000233888626099;2800;3360;6160;B
57;0.000235080718994;2850;3420;6270;A
58;0.000236988067627;2900;3480;6380;B
59;0.000236988067627;2950;3540;6490;A
60;0.000237941741943;3000;3600;6600;B
61;0.000237941741943;3050;3660;6710;A
62;0.000235080718994;3100;3720;6820;B
63;0.000236988067627;3150;3780;6930;A
64;0.000247001647949;3200;3840;7040;B
65;0.000236988067627;3250;3900;7150;A
66;0.000239133834839;3300;3960;7260;B
67;0.000240087509155;3350;4020;7370;A
68;0.000237941741943;3400;4080;7480;B
69;0.000240802764893;3450;4140;7590;A
70;0.000290870666504;3500;4200;7700;B
71;0.000239133834839;3550;4260;7810;A
72;0.000290870666504;3600;4320;7920;B
73;0.000240087509155;3650;4380;8030;A
74;0.000291109085083;3700;4440;8140;B
75;0.000240802764893;3750;4500;8250;A
76;0.000298976898193;3800;4560;8360;B
77;0.000241041183472;3850;4620;8470;A
78;0.000293016433716;3900;4680;8580;B
79;0.000242948532104;3950;4740;8690;A
80;0.000293970108032;4000;4800;8800;B
81;0.000242948532104;4050;4860;8910;A
82;0.000253915786743;4100;4920;9020;B
83;0.000267028808594;4150;4980;9130;A
84;0.000256061553955;4200;5040;9240;B
85;0.000257015228271;4250;5100;9350;A
86;0.000257015228271;4300;5160;9460;B
87;0.000257968902588;4350;5220;9570;A
88;0.000257968902588;4400;5280;9680;B
89;0.000257968902588;4450;5340;9790;A
90;0.000257015228271;4500;5400;9900;B
91;0.000258922576904;4550;5460;10010;A
92;0.000258207321167;4600;5520;10120;B
93;0.000264883041382;4650;5580;10230;A
94;0.000257015228271;4700;5640;10340;B
95;0.000259876251221;4750;5700;10450;A
96;0.000265121459961;4800;5760;10560;B
97;0.0002601146698;4850;5820;10670;A
98;0.000262022018433;4900;5880;10780;B
99;0.0002601146698;4950;5940;10890;A
100;0.000259160995483;5000;6000;11000;B
101;0.0002601146698;5050;6060;11110;A
102;0.000259160995483;5100;6120;11220;B
103;0.000261068344116;5150;6180;11330;A
104;0.000257015228271;5200;6240;11440;B
105;0.000261068344116;5250;6300;11550;A
106;0.000264883041382;5300;6360;11660;B
107;0.000267028808594;5350;6420;11770;A
108;0.000262022018433;5400;6480;11880;B
109;0.000259160995483;5450;6540;11990;A
110;0.000262022018433;5500;6600;12100;B
111;0.000262975692749;5550;6660;12210;A
112;0.000262022018433;5600;6720;12320;B
113;0.000262975692749;5650;6780;12430;A
114;0.000257015228271;5700;6840;12540;B
115;0.000262975692749;5750;6900;12650;A
116;0.000277042388916;5800;6960;12760;B
117;0.000265836715698;5850;7020;12870;A
118;0.000258922576904;5900;7080;12980;B
119;0.000257015228271;5950;7140;13090;A
120;0.000266790390015;6000;7200;13200;B
121;0.000261068344116;6050;7260;13310;A
122;0.000259876251221;6100;7320;13420;B
123;0.000267028808594;6150;7380;13530;A
124;0.000263929367065;6200;7440;13640;B
125;0.000271081924438;6250;7500;13750;A
126;0.000259160995483;6300;7560;13860;B
127;0.000262022018433;6350;7620;13970;A
128;0.000256061553955;6400;7680;14080;B
129;0.000262975692749;6450;7740;14190;A
130;0.000260829925537;6500;7800;14300;B
131;0.000262022018433;6550;7860;14410;A
132;0.000261068344116;6600;7920;14520;B
133;0.000264167785645;6650;7980;14630;A
134;0.000261068344116;6700;8040;14740;B
135;0.000267028808594;6750;8100;14850;A
136;0.000268936157227;6800;8160;14960;B
137;0.000266075134277;6850;8220;15070;A
138;0.000316143035889;6900;8280;15180;B
139;0.000266075134277;6950;8340;15290;A
140;0.000313997268677;7000;8400;15400;B
141;0.000265121459961;7050;8460;15510;A
142;0.000315189361572;7100;8520;15620;B
143;0.000264883041382;7150;8580;15730;A
144;0.000318050384521;7200;8640;15840;B
145;0.000268220901489;7250;8700;15950;A
146;0.000317096710205;7300;8760;16060;B
147;0.000267028808594;7350;8820;16170;A
148;0.000314950942993;7400;8880;16280;B
149;0.00026798248291;7450;8940;16390;A
150;0.000324010848999;7500;9000;16500;B
151;0.000268936157227;7550;9060;16610;A
152;0.000342845916748;7600;9120;16720;B
153;0.00030517578125;7650;9180;16830;A
154;0.000316143035889;7700;9240;16940;B
155;0.00026798248291;7750;9300;17050;A
156;0.000319004058838;7800;9360;17160;B
157;0.00026798248291;7850;9420;17270;A
158;0.000319004058838;7900;9480;17380;B
159;0.00026798248291;7950;9540;17490;A
160;0.000323057174683;8000;9600;17600;B
161;0.000275135040283;8050;9660;17710;A
162;0.000318050384521;8100;9720;17820;B
163;0.000268220901489;8150;9780;17930;A
164;0.000281810760498;8200;9840;18040;B
165;0.000280857086182;8250;9900;18150;A
166;0.000282049179077;8300;9960;18260;B
167;0.000286102294922;8350;10020;18370;A
168;0.000320911407471;8400;10080;18480;B
169;0.000300884246826;8450;10140;18590;A
170;0.000323057174683;8500;10200;18700;B
171;0.000286817550659;8550;10260;18810;A
172;0.000283002853394;8600;10320;18920;B
173;0.000284910202026;8650;10380;19030;A
174;0.000280141830444;8700;10440;19140;B
175;0.00028395652771;8750;10500;19250;A
176;0.000282049179077;8800;10560;19360;B
177;0.00028395652771;8850;10620;19470;A
178;0.000282049179077;8900;10680;19580;B
179;0.000283002853394;8950;10740;19690;A
180;0.00028395652771;9000;10800;19800;B
181;0.000284910202026;9050;10860;19910;A
182;0.000278949737549;9100;10920;20020;B
183;0.000290870666504;9150;10980;20130;A
184;0.000282049179077;9200;11040;20240;B
185;0.000283002853394;9250;11100;20350;A
186;0.00028395652771;9300;11160;20460;B
187;0.000284910202026;9350;11220;20570;A
188;0.000282049179077;9400;11280;20680;B
189;0.00028395652771;9450;11340;20790;A
190;0.000283002853394;9500;11400;20900;B
191;0.000283002853394;9550;11460;21010;A
192;0.00028395652771;9600;11520;21120;B
193;0.000285148620605;9650;11580;21230;A
194;0.000284910202026;9700;11640;21340;B
195;0.000282049179077;9750;11700;21450;A
196;0.000285148620605;9800;11760;21560;B
197;0.00028395652771;9850;11820;21670;A
198;0.00028395652771;9900;11880;21780;B
199;0.000284194946289;9950;11940;21890;A
200;0.00028395652771;10000;12000;22000;B
201;0.000284194946289;10050;12060;22110;A
202;0.000280141830444;10100;12120;22220;B
203;0.000285148620605;10150;12180;22330;A
204;0.000280857086182;10200;12240;22440;B
205;0.000284910202026;10250;12300;22550;A
206;0.000281810760498;10300;12360;22660;B
207;0.000285148620605;10350;12420;22770;A
208;0.000283002853394;10400;12480;22880;B
209;0.000284194946289;10450;12540;22990;A
210;0.00028395652771;10500;12600;23100;B
211;0.000284194946289;10550;12660;23210;A
212;0.000283002853394;10600;12720;23320;B
213;0.000286817550659;10650;12780;23430;A
214;0.000283002853394;10700;12840;23540;B
215;0.000286817550659;10750;12900;23650;A
216;0.000281095504761;10800;12960;23760;B
217;0.000283002853394;10850;13020;23870;A
218;0.00028395652771;10900;13080;23980;B
219;0.000283002853394;10950;13140;24090;A
220;0.000286102294922;11000;13200;24200;B
221;0.00028395652771;11050;13260;24310;A
222;0.00028395652771;11100;13320;24420;B
223;0.000284910202026;11150;13380;24530;A
224;0.00028920173645;11200;13440;24640;B
225;0.000286817550659;11250;13500;24750;A
226;0.000282049179077;11300;13560;24860;B
227;0.000285148620605;11350;13620;24970;A
228;0.00028395652771;11400;13680;25080;B
229;0.000286817550659;11450;13740;25190;A
230;0.00028395652771;11500;13800;25300;B
231;0.000284910202026;11550;13860;25410;A
232;0.000285148620605;11600;13920;25520;B
233;0.000284194946289;11650;13980;25630;A
234;0.000286102294922;11700;14040;25740;B
235;0.000284910202026;11750;14100;25850;A
236;0.00028395652771;11800;14160;25960;B
237;0.000284910202026;11850;14220;26070;A
238;0.000285148620605;11900;14280;26180;B
239;0.000282049179077;11950;14340;26290;A
240;0.000283002853394;12000;14400;26400;B
241;0.000286102294922;12050;14460;26510;A
242;0.000283002853394;12100;14520;26620;B
243;0.000287055969238;12150;14580;26730;A
244;0.000285148620605;12200;14640;26840;B
245;0.000283002853394;12250;14700;26950;A
246;0.00028395652771;12300;14760;27060;B
247;0.000283002853394;12350;14820;27170;A
248;0.000283002853394;12400;14880;27280;B
249;0.000286102294922;12450;14940;27390;A
250;0.000284194946289;12500;15000;27500;B
251;0.000284910202026;12550;15060;27610;A
252;0.000284910202026;12600;15120;27720;B
253;0.000284910202026;12650;15180;27830;A
254;0.00028395652771;12700;15240;27940;B
